Data collection stopped.
;35559,35564,35569,35574,35579,35584,35589,35594,35599,35604,35609,35614,35619,35474,35479,35484,35489,35494,35499,35504,35509,35514,35519,35524,35529,35534,35539,35544,35549,35554;-30.96,-31.45,-31.45,-31.45,-30.96,-31.45,-31.45,-30.96,-31.45,-31.45,-30.96,-31.45,-31.93,-31.45,-30.96,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-30.96,-31.45,-31.45,-31.45;-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-31.40,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-32.02,-31.40,-31.40,-31.40,-31.40
;35948,35953,35958,35963,35968,35973,35978,35983,35988,35993,35998,36003,36008,36013,36018,36023,36028,36033,36038,36043,36048,36054,36059,36064,36069,36074,36079,36084,35938,35943;-31.45,-31.93,-31.93,-31.93,-31.93,-31.93,-31.93,-31.93,-31.93,-31.93,-31.45,-31.45,-31.45,-31.45,-31.45,-31.93,-31.93,-31.93,-31.93,-31.93,-31.93,-31.45,-31.45,-31.45,-31.45,-31.93,-31.93,-31.45,-31.93,-31.93;-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-31.46,-31.46
;36488,36493,36498,36503,36508,36513,36518,36523,36528,36533,36538,36543,36548,36402,36407,36412,36417,36422,36427,36432,36438,36443,36448,36453,36458,36463,36468,36473,36478,36483;-31.45,-31.45,-31.45,-31.45,-30.96,-30.96,-30.96,-31.45,-31.45,-31.45,-31.45,-31.45,-31.93,-31.45,-31.45,-30.96,-30.96,-30.96,-30.96,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45;-31.46,-31.46,-30.84,-30.84,-30.84,-30.84,-30.84,-30.84,-30.84,-30.84,-30.84,-30.84,-30.84,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46,-31.46
;36877,36882,36887,36892,36897,36902,36907,36912,36917,36922,36927,36932,36937,36942,36947,36952,36957,36962,36967,36972,36977,36832,36837,36842,36847,36852,36857,36862,36867,36872;-31.93,-31.45,-31.45,-31.93,-31.45,-31.93,-31.45,-31.45,-31.93,-31.45,-31.93,-31.45,-31.45,-31.93,-31.45,-30.96,-31.93,-31.45,-31.45,-31.93,-30.96,-30.96,-31.93,-31.45,-31.45,-31.45,-31.45,-31.93,-31.45,-31.93;-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.18,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34,-31.34
;37416,37421,37426,37431,37436,37441,37446,37451,37306,37311,37316,37321,37326,37331,37336,37341,37346,37351,37356,37361,37366,37371,37376,37381,37386,37391,37396,37401,37406,37411;-31.45,-31.45,-30.96,-31.45,-31.45,-31.45,-31.45,-31.45,-30.96,-30.96,-31.45,-30.96,-31.45,-31.45,-30.96,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-30.96,-30.96,-31.45,-31.45,-30.96,-31.45,-30.96,-31.45,-31.45;-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96
;37953,37958,37963,37968,37974,37979,37984,37989,37994,37999,38004,37858,37863,37868,37873,37878,37883,37888,37893,37898,37903,37908,37913,37918,37923,37928,37933,37938,37943,37948;-31.45,-30.47,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.93,-31.93,-31.45,-31.45,-31.45,-31.45,-31.93,-31.93,-31.45,-31.45,-31.93,-31.93,-31.93,-31.93,-31.45,-31.93,-31.93,-31.93,-31.45;-29.90,-29.90,-29.90,-29.90,-29.90,-29.90,-29.90,-29.90,-29.90,-29.90,-29.90,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-30.40,-29.90,-29.90,-29.90,-29.90
;38493,38498,38503,38508,38513,38518,38373,38378,38383,38388,38393,38398,38403,38408,38413,38418,38423,38428,38433,38438,38443,38448,38453,38458,38463,38468,38473,38478,38483,38488;-30.96,-30.96,-30.47,-30.47,-30.47,-30.96,-30.96,-30.96,-30.47,-30.96,-30.96,-30.47,-30.47,-30.96,-30.47,-30.96,-30.96,-30.47,-30.96,-30.47,-30.96,-30.47,-30.47,-30.47,-30.96,-30.96,-30.47,-30.96,-30.96,-30.47;-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.34,-30.34,-30.34,-30.34,-30.34,-30.34,-30.34,-30.34,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18,-30.18
;38882,38887,38892,38897,38902,38907,38912,38917,38922,38927,38932,38937,38942,38947,38952,38957,38962,38967,38972,38827,38832,38837,38842,38847,38852,38857,38862,38867,38872,38877;-30.47,-30.96,-30.96,-31.45,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-31.45,-30.96,-30.96,-30.47,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.47,-30.96,-31.45;-30.78,-30.78,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-31.86,-30.78,-30.78,-30.78,-30.78,-30.78,-30.78,-30.78,-30.78,-30.78,-30.78,-30.78
;39871,39876,39881,39886,39891,39896,39901,39906,39911,39916,39921,39776,39781,39786,39791,39796,39801,39806,39811,39816,39821,39826,39831,39836,39841,39846,39851,39856,39861,39866;-30.47,-30.47,-30.47,-30.47,-30.96,-30.47,-30.47,-30.96,-30.47,-30.47,-30.96,-30.96,-30.96,-30.96,-30.47,-30.47,-30.47,-30.47,-30.96,-30.47,-30.47,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.96,-30.47;-31.30,-31.30,-31.30,-31.30,-31.30,-31.30,-31.30,-31.30,-31.30,-31.30,-31.30,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.30,-31.30,-31.30,-31.30,-31.30
*;44928,44933,44938,44943,44948,44953,44958,44963,44968,44973,44978,44983,44838,44843,44848,44853,44858,44863,44868,44873,44878,44883,44888,44893,44898,44903,44908,44913,44918,44923;-30.96,-31.45,-31.45,-30.96,-30.96,-30.96,-31.45,-31.45,-31.45,-30.96,-31.45,-30.96,-30.96,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-31.45,-30.96,-31.45,-30.96,-31.45,-31.45,-31.45,-31.45,-31.45,-30.96,-30.96;-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12,-31.12
