;10632,10637,10642,10647,10652,10657,10662,10667,10672,10677,10682,10687,10692,10697,10702,10707,10712,10717,10722,10727,10732,10737,10742,10747,10752,10757,10762,10767,10772,10627;-25.59,-25.10,-25.59,-25.59,-25.10,-25.59,-25.10,-25.59,-25.59,-25.10,-25.59,-25.59,-25.59,-25.10,-25.59,-25.59,-25.59,-25.10,-25.59,-25.10,-25.59,-25.10,-25.59,-25.10,-25.10,-25.59,-25.59,-25.10,-25.59,-25.10;-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.46
;11322,11327,11332,11337,11342,11347,11352,11357,11362,11367,11372,11377,11382,11387,11392,11397,11402,11407,11412,11267,11272,11277,11282,11287,11292,11297,11302,11307,11312,11317;-23.14,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-25.10,-24.61,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-24.61,-25.10,-25.10,-24.12,-25.10,-24.12,-24.61,-24.12,-23.63,-24.12,-24.61,-24.12;-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04,-27.04
;11862,11867,11872,11726,11731,11736,11741,11746,11751,11756,11761,11766,11771,11776,11781,11786,11791,11796,11801,11806,11811,11816,11821,11826,11831,11836,11841,11846,11851,11856;-25.10,-24.61,-24.61,-25.10,-25.10,-24.61,-25.10,-25.10,-24.61,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-25.10,-24.61,-24.61,-25.10,-25.10,-24.61,-24.61,-24.61,-25.10,-25.10,-24.61,-24.61,-24.61;-25.40,-25.40,-25.40,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.40,-25.40
;12552,12557,12411,12416,12421,12426,12431,12436,12441,12446,12451,12456,12461,12466,12471,12476,12481,12486,12491,12496,12502,12507,12512,12517,12522,12527,12532,12537,12542,12547;-25.10,-24.61,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10,-25.10;-26.72,-26.72,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.40,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72
;13543,13548,13553,13558,13563,13568,13573,13578,13583,13588,13593,13598,13603,13608,13613,13618,13623,13628,13633,13638,13643,13648,13654,13659,13664,13669,13674,13679,13533,13538;-24.61,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-25.10,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61,-25.10,-25.10,-24.61,-25.10;-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.78,-26.78
*;16793,16798,16803,16808,16813,16818,16823,16678,16683,16688,16693,16698,16703,16708,16713,16718,16723,16728,16733,16738,16743,16748,16753,16758,16763,16768,16773,16778,16783,16788;-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59;-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-26.14,-26.14,-26.14,-26.14,-26.14
;17330,17335,17340,17345,17350,17355,17360,17366,17371,17376,17381,17386,17391,17396,17401,17406,17411,17265,17270,17275,17280,17285,17290,17295,17300,17305,17310,17315,17320,17325;-25.10,-25.10,-23.63,-26.56,-24.12,-25.59,-24.61,-23.63,-24.61,-24.61,-27.05,-25.59,-23.63,-25.10,-25.59,-25.10,-25.59,-25.10,-25.59,-25.59,-25.10,-25.59,-25.10,-25.59,-25.10,-25.59,-25.10,-25.59,-25.10,-25.10;-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-25.10,-25.10,-25.10,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72,-24.72
;17719,17724,17579,17584,17589,17594,17599,17604,17609,17614,17619,17624,17629,17634,17639,17644,17649,17654,17659,17664,17669,17674,17679,17684,17689,17694,17699,17704,17709,17714;-25.59,-25.59,-26.07,-25.10,-25.59,-25.59,-25.59,-25.10,-25.59,-25.59,-25.59,-25.59,-25.59,-25.10,-25.10,-25.59,-25.59,-25.10,-25.10,-25.10,-25.59,-25.59,-25.10,-25.59,-25.59,-25.59,-25.10,-25.59,-25.59,-25.59;-24.52,-24.52,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32,-24.32
;17956,17961,17966,17971,17976,17981,17986,17991,17996,18001,18006,18011,18016,18021,18026,18031,18036,18041,18046,18051,18056,18061,18066,18071,18076,18081,18086,18091,18096,18101;-24.61,-25.10,-26.07,-24.61,-25.10,-25.10,-26.56,-25.10,-25.10,-25.10,-25.10,-25.10,-25.59,-25.10,-25.10,-25.10,-25.10,-25.59,-25.10,-25.59,-25.10,-25.10,-25.10,-25.59,-25.10,-25.10,-25.10,-25.10,-25.59,-25.59;-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-25.36,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56
;18646,18651,18656,18661,18666,18671,18676,18681,18686,18691,18696,18701,18706,18711,18716,18721,18726,18731,18736,18741,18595,18600,18605,18610,18615,18620,18625,18630,18635,18640;-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-25.59,-24.61,-25.10,-25.59,-25.59,-25.59,-25.59,-25.59;-27.52,-27.52,-27.52,-27.52,-27.52,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-28.22,-27.52,-27.52,-27.52,-27.52,-27.52,-27.52,-27.52,-27.52,-27.52,-27.52
